id,userAgent,isMobile,secondCondition,focusState,firstCondition,seqAirline,errorStates,seqStates,focusAirline,studyCondition,errorAirline,approx.airline.howManyCompare.0.answer,approx.airline.howManyCompare.0.data,approx.airline.howManyCompare.0.approx,approx.airline.howManyCompare.0.confidence,approx.airline.howMany.answer,approx.airline.howMany.approx,approx.airline.howMany.confidence,approx.airline.howManyCompare.1.answer,approx.airline.howManyCompare.1.data,approx.airline.howManyCompare.1.approx,approx.airline.howManyCompare.1.confidence,approx.states.howMany.answer,approx.states.howMany.approx,approx.states.howMany.confidence,approx.states.howManyCompare.0.answer,approx.states.howManyCompare.0.data,approx.states.howManyCompare.0.approx,approx.states.howManyCompare.0.confidence,approx.states.howManyCompare.1.answer,approx.states.howManyCompare.1.data,approx.states.howManyCompare.1.approx,approx.states.howManyCompare.1.confidence,precise.airline.howManyCompare.0.answer,precise.airline.howManyCompare.0.data,precise.airline.howManyCompare.0.approx,precise.airline.howManyCompare.0.precise,precise.airline.howManyCompare.0.confidence,precise.airline.howMany.answer,precise.airline.howMany.approx,precise.airline.howMany.precise,precise.airline.howMany.confidence,precise.airline.howManyCompare.1.answer,precise.airline.howManyCompare.1.data,precise.airline.howManyCompare.1.approx,precise.airline.howManyCompare.1.precise,precise.airline.howManyCompare.1.confidence,precise.airline.didYouNotice.answer,precise.airline.didYouNotice.true,precise.airline.didYouNotice.confidence,precise.airline.SelectAll.confidence,precise.airline.SelectAll.answer,precise.airline.SelectAll.approx,precise.airline.SelectAll.precise,precise.airline.SelectAll.jaccard_answer_precise,precise.airline.SelectAll.jaccard_approx_precise,precise.airline.SelectAll.jaccard_approx_answer,precise.states.howManyCompare.0.answer,precise.states.howManyCompare.0.data,precise.states.howManyCompare.0.approx,precise.states.howManyCompare.0.precise,precise.states.howManyCompare.0.confidence,precise.states.howMany.answer,precise.states.howMany.approx,precise.states.howMany.precise,precise.states.howMany.confidence,precise.states.howManyCompare.1.answer,precise.states.howManyCompare.1.data,precise.states.howManyCompare.1.approx,precise.states.howManyCompare.1.precise,precise.states.howManyCompare.1.confidence,precise.states.didYouNotice.answer,precise.states.didYouNotice.true,precise.states.didYouNotice.confidence,precise.states.SelectAll.confidence,precise.states.SelectAll.answer,precise.states.SelectAll.approx,precise.states.SelectAll.precise,precise.states.SelectAll.jaccard_answer_precise,precise.states.SelectAll.jaccard_approx_precise,precise.states.SelectAll.jaccard_approx_answer,timing.precise_second_html,timing.precise_questions_html,timing.approximate_second_html,timing.approximate_questions_second_html,timing.precise_first_html,timing.instructions_html,timing.demographics_html,timing.approximate_first_html,timing.approximate_questions_first_html,timing.index_html,timing.precise_instructions_html,timing.thanks_html,demographics.improved,demographics.age,demographics.familiar,demographics.troubles,demographics.cheat,demographics.gender,demographics.problems
66972706,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,states,MA,airline,15,100,5,DL,both,500,3000,UA,1000,agree,6500,6500,strong_agree,4000,AA,5500,neutral,5500,5300,strong_agree,3000,NJ,200,weak_disagree,2000,NY,4300,agree,500,UA,1000,583,weak_agree,5000,6500,5163,agree,100,AA,5500,4088,agree,False,True,strong_agree,agree,"DL,OO,B6,AA,UA","EV,DL,UA,AA,B6,WN","VX,EV,DL,UA,AA,B6,WN",0.5,0.8571428571428571,0.5714285714285714,3000,CA,1900,1887,agree,5000,5300,3928,strong_agree,2000,VA,1500,961,weak_agree,True,True,strong_agree,agree,"VA,NJ,MA,CA","NJ,VA,FL,NY,PR,MA,CA","NJ,VA,FL,NY,PR,MA,CA",0.5714285714285714,1.0,0.5714285714285714,13682,82788,21900,23708,14916,8063,18414,38587,33859,11056,2711,14204,-,27,familiar,no,no,Female,no
18074862,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,airline,NY,states,1,500,13,DL,both,1,3000,WN,2155,weak_agree,5150,5163,strong_agree,4000,VX,153,weak_agree,5500,5500,strong_agree,3000,MA,4000,strong_disagree,2000,FL,3500,strong_disagree,3150,WN,2155,2155,strong_agree,5150,5163,5163,strong_agree,3150,B6,5113,5113,strong_agree,False,False,strong_agree,agree,"WN,DL,B6,UA","VX,EV,DL,UA,AA,B6,WN","VX,EV,DL,UA,AA,B6,WN",0.5714285714285714,1.0,0.5714285714285714,300,NJ,500,327,agree,5500,5500,5085,strong_agree,4500,MA,4000,3928,agree,True,True,strong_agree,weak_agree,"FL,NY,PR,MA","NJ,VA,FL,NY,PR,MA,CA","NJ,VA,FL,NY,PR,MA,CA",0.5714285714285714,1.0,0.5714285714285714,32715,130365,36475,23318,82339,53273,16666,29599,28797,1407,8558,13489,-,26,familiar,no,no,male,-
58926040,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36",False,states,MA,airline,3,1000,3,B6,onlyNew,1000,-6000,DL,11000,agree,2000,2000,agree,-1000,EV,3000,agree,1000,1000,strong_agree,0,NJ,1000,strong_agree,-8000,NY,11000,agree,4500,UA,1000,583,agree,5252,2000,5113,agree,1000,AA,1000,4088,strong_agree,True,True,strong_agree,unknown,"VX,EV,DL,B6,AA,UA,WN","EV,DL,UA,AA,B6,WN","VX,EV,DL,UA,AA,B6,WN",1.0,0.8571428571428571,0.8571428571428571,3500,NJ,1000,327,agree,3750,1000,3928,agree,-1000,NY,11000,5085,strong_agree,True,True,agree,agree,"CA,NJ,VA,FL,NY,PR,MA","NJ,FL,NY,PR,MA,CA","NJ,VA,FL,NY,PR,MA,CA",1.0,0.8571428571428571,0.8571428571428571,52393,145899,447172,61869,20194,17761,16222,122610,51718,1949,3239,209269,Everything was clear!,30,familiar,no,no,Male,None at all!
42878404,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,airline,NY,states,8,100,12,B6,difference,500,4000,AA,3500,agree,7500,8000,agree,5000,WN,1500,weak_agree,4500,4900,agree,4000,PR,600,agree,1000,FL,4400,weak_agree,1000,AA,3500,4088,agree,5000,8000,5113,agree,100,WN,1500,2155,agree,True,True,strong_agree,strong_agree,"VX,EV,DL,B6,AA,UA,WN","DL,B6,AA,WN,EV","VX,EV,DL,UA,AA,B6,WN",1.0,0.7142857142857143,0.7142857142857143,3000,CA,1700,1887,weak_agree,5000,4900,5085,agree,1000,MA,5300,3928,agree,True,True,strong_agree,agree,"CA,NJ,VA,FL,NY,PR,MA","NJ,VA,FL,NY,PR,MA,CA","NJ,VA,FL,NY,PR,MA,CA",1.0,1.0,1.0,12759,113055,107816,31170,18605,24954,15345,252895,32065,5233,4809,8623,-,36,familiar,no,no,male,no issues
84835951,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,states,NY,airline,19,200,14,AA,both,1000,2000,B6,9000,agree,700,1000,weak_disagree,100,EV,3000,agree,5000,5600,strong_agree,2500,CA,2400,weak_agree,4900,NJ,200,agree,200,WN,2000,2155,unknown,200,1000,4088,agree,400,B6,9000,5113,strong_disagree,True,True,strong_agree,strong_agree,"WN,EV,DL,B6,AA","DL,B6,AA,WN,EV","VX,EV,DL,UA,AA,B6,WN",0.7142857142857143,0.7142857142857143,1.0,2500,NJ,200,327,weak_disagree,5000,5600,5085,agree,1000,PR,1800,950,disagree,True,True,weak_agree,strong_agree,"PR,CA,FL,NY,NJ,MA","NJ,VA,FL,NY,PR,MA,CA","NJ,VA,FL,NY,PR,MA,CA",0.8571428571428571,1.0,0.8571428571428571,11618,73458,16873,25960,20765,6087,25415,21847,37415,330079,7292,60642,no,27,familiar,no,no,male,-
49437914,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",False,states,FL,airline,1,1,1,DL,difference,1,200,B6,5113,neutral,5000,5163,agree,2000,EV,1998,strong_disagree,4900,4986,agree,1000,MA,3928,weak_agree,3000,VA,961,strong_disagree,2000,UA,583,583,strong_disagree,5100,5163,5163,weak_agree,1000,AA,4088,4088,disagree,True,False,weak_agree,weak_agree,"VX,EV,DL,B6,AA,UA","VX,EV,DL,UA,AA,B6,WN","VX,EV,DL,UA,AA,B6,WN",0.8571428571428571,1.0,0.8571428571428571,3500,CA,1887,1887,weak_disagree,5100,4986,4986,weak_agree,2000,VA,961,961,strong_disagree,True,False,neutral,weak_agree,"CA,VA,FL,NJ,MA","NJ,VA,FL,NY,PR,MA,CA","NJ,VA,FL,NY,PR,MA,CA",0.7142857142857143,1.0,0.7142857142857143,29792,76848,34807,16197,66653,23939,22127,52356,28746,5901,6908,1866427,it was all good!,22,familiar,no,no,female,no
55656520,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",False,airline,MA,states,20,500,19,B6,onlyNew,200,2000,DL,4400,weak_agree,6000,6000,strong_agree,4000,EV,1400,weak_agree,5000,5000,strong_agree,1000,CA,1500,strong_disagree,500,NJ,500,neutral,2000,WN,2200,2155,agree,50000,6000,5113,agree,0,DL,4400,5163,strong_agree,True,True,weak_agree,agree,"VX,EV,DL,B6,UA,WN","EV,DL,UA,AA,B6,WN","VX,EV,DL,UA,AA,B6,WN",0.8571428571428571,0.8571428571428571,0.7142857142857143,1000,CA,1500,1887,weak_agree,4000,5000,3928,weak_agree,0,NY,3500,5085,strong_agree,False,True,weak_agree,weak_agree,"CA,VA,FL,NY,NJ,MA","NJ,VA,FL,NY,PR,MA,CA","NJ,VA,FL,NY,PR,MA,CA",0.8571428571428571,1.0,0.8571428571428571,60061,77514,20900,15391,45104,29244,13541,32904,25545,2482,3250,5809,-,33,some,no,no,female,-
80993444,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",False,states,NY,airline,4,1,1,AA,both,1000,1000,WN,2000,strong_disagree,5000,5000,strong_agree,2500,EV,2000,strong_disagree,5100,5085,strong_agree,2500,CA,1887,weak_agree,3000,PR,950,strong_disagree,2500,VX,1000,153,strong_disagree,4200,5000,4088,agree,1000,DL,4000,5163,strong_disagree,False,True,strong_agree,agree,"VX,DL,B6,AA,UA,WN","VX,EV,DL,UA,AA,B6,WN","VX,EV,DL,UA,AA,B6,WN",0.8571428571428571,1.0,0.8571428571428571,2500,CA,1887,1887,disagree,5100,5085,5085,agree,3000,PR,950,950,strong_disagree,False,False,agree,unknown,"FL,CA","NJ,VA,FL,NY,PR,MA,CA","NJ,VA,FL,NY,PR,MA,CA",0.2857142857142857,1.0,0.2857142857142857,16323,,16641,26757,12533,17383,37138,18239,35490,2785,5823,22486,No.,34,some,no,no,male,I didn't have any problems.
55686356,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",False,states,FL,airline,17,200,6,DL,difference,200,2000,B6,6800,unknown,4000,4000,strong_agree,,,,,4500,4600,strong_agree,2000,CA,2200,neutral,2000,PR,1000,neutral,1000,UA,600,583,weak_disagree,4500,4000,5163,weak_agree,500,WN,1400,2155,weak_disagree,True,True,weak_agree,weak_agree,"WN,EV,DL,B6,UA","EV,DL,UA,AA,B6,WN","VX,EV,DL,UA,AA,B6,WN",0.7142857142857143,0.8571428571428571,0.8333333333333334,1000,PR,1000,950,neutral,4500,4600,4986,neutral,1000,MA,4200,3928,neutral,True,True,neutral,weak_agree,"CA,VA,FL,NY,PR","VA,FL,NY,PR,MA,CA","NJ,VA,FL,NY,PR,MA,CA",0.7142857142857143,0.8571428571428571,0.8333333333333334,12706,60226,15515,15030,14283,814,13034,20935,,977,2577,2801,-,31,some,yes,no,female,no
23634915,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14931",False,states,MA,airline,12,1,1,AA,onlyNew,500,1500,B6,5500,disagree,2800,3500,weak_agree,0,DL,7500,strong_agree,3800,3928,agree,3000,PR,950,weak_agree,2000,FL,4986,weak_agree,1000,WN,1500,2155,strong_disagree,4100,3500,4088,strong_agree,-2000,EV,1000,1998,disagree,True,True,strong_agree,agree,"VX,EV,DL,AA,WN","VX,EV,DL,B6,AA,WN","VX,EV,DL,UA,AA,B6,WN",0.7142857142857143,0.8571428571428571,0.8333333333333334,-2000,PR,950,950,agree,3900,3928,3928,strong_agree,-700,FL,4986,4986,disagree,True,False,agree,strong_disagree,"CA,VA,FL,PR,MA","NJ,VA,FL,NY,PR,MA,CA","NJ,VA,FL,NY,PR,MA,CA",0.7142857142857143,1.0,0.7142857142857143,22430,95552,17832,18744,28897,3543,30243,27914,36133,49309,5655,18522,"No everything was clear and easy to understand, thanks!",24,some,no,no,female ,no
