frac,seq,DL,B6,AA,WN,EV,UA,VX
1,0,5163,5113,4088,2155,1998,583,153
10,1,5620,5110,3840,2070,1830,610,170
10,2,5250,4820,4210,2040,2140,600,190
10,3,5070,5260,4030,2120,1980,620,170
10,4,4860,5370,4400,2040,1800,570,210
10,5,5270,5470,4020,1870,1990,520,110
10,6,4970,5270,4110,2360,1840,570,130
10,7,5040,5300,3960,2050,2150,550,200
10,8,4920,5210,4180,2070,2120,620,130
10,9,5210,4880,4340,2060,2000,570,190
100,1,5900,6300,3000,2600,1200,200,100
100,2,5100,4100,4900,2100,2200,700,200
100,3,5100,4300,4900,1800,2200,600,400
100,4,5700,4500,4100,2400,2100,400,100
100,5,4500,4000,5500,2500,1900,700,200
100,6,5400,5200,4300,2200,1700,400,100
100,7,4700,5800,3800,2800,1500,600,100
100,8,5500,5900,3700,1700,1400,1000,100
100,9,5000,5700,4000,2300,2100,100,100
200,1,6200,3600,3600,3000,2200,600,
200,2,5800,5000,4600,2000,1200,600,
200,3,5000,4000,4600,3000,2200,400,
200,4,5200,4400,5200,1600,2200,600,
200,5,4600,5000,4000,2400,2400,800,
200,6,5000,4200,4000,2600,2800,400,200
200,7,5200,5400,2600,2000,3600,400,
200,8,5600,4800,4200,2000,2200,200,200
200,9,6000,5800,3600,1400,1800,600,
500,1,8000,4000,4000,2500,500,500,
500,2,6000,3500,5000,1000,2500,1500,
500,3,4500,5000,5000,1000,2500,1000,500
500,4,5500,5000,2500,4000,1500,1000,
500,5,2500,6500,4000,3500,2000,1000,
500,6,5000,5000,5000,500,2000,1500,500
500,7,7000,6000,1000,2500,2000,500,500
500,8,4500,8000,3500,1500,2000,,
500,9,4500,7500,4000,2000,1000,,500
1000,1,6000,10000,3000,,,,
1000,2,9000,3000,3000,2000,2000,,
1000,3,11000,2000,1000,1000,3000,1000,
1000,4,4000,4000,5000,2000,2000,1000,1000
1000,5,5000,3000,6000,2000,1000,2000,
1000,6,6000,5000,1000,2000,3000,2000,
1000,7,4000,3000,5000,4000,3000,,
1000,8,4000,3000,6000,1000,3000,1000,1000
1000,9,6000,4000,4000,1000,2000,2000,
